,City,Temperature,Humidity,Cloudiness,Latitude,Longitude,Wind Speed
0,Santa cruz de la palma,17.64,77.0,0.0,28.68,-17.76,4.1
1,Umzimvubu,,,,,,
2,Kapaa,25.85,65.0,40.0,22.08,-159.32,8.2
3,Ushuaia,6.0,81.0,75.0,-54.8,-68.3,11.8
4,Faanui,27.98,70.0,37.0,-16.48,-151.75,1.03
5,Butaritari,28.65,80.0,52.0,3.07,172.79,7.96
6,Hobart,10.65,76.0,20.0,-42.88,147.33,3.6
7,Sosva,4.88,89.0,81.0,59.18,61.86,4.67
8,Mahebourg,24.0,64.0,20.0,-20.41,57.7,7.2
9,Ambon,27.95,74.0,82.0,-3.7,128.18,1.97
10,Rikitea,26.26,83.0,3.0,-23.12,-134.97,7.8
11,Bredasdorp,12.0,81.0,80.0,-34.53,20.04,1.5
12,La ronge,14.0,35.0,90.0,55.1,-105.28,5.1
13,Rikitea,26.26,83.0,3.0,-23.12,-134.97,7.8
14,Qaqortoq,5.0,48.0,0.0,60.72,-46.03,1.5
15,Kerema,28.97,72.0,88.0,-7.96,145.78,1.27
16,Taolanaro,,,,,,
17,Ambulu,25.86,81.0,0.0,-8.35,113.61,1.39
18,Sentyabrskiy,,,,,,
19,Tumannyy,,,,,,
20,Iqaluit,-1.06,86.0,90.0,63.75,-68.51,6.2
21,Rikitea,26.26,83.0,3.0,-23.12,-134.97,7.8
22,Tayoltita,29.91,21.0,48.0,24.08,-105.93,2.08
23,Ushuaia,6.0,81.0,75.0,-54.8,-68.3,11.8
24,Portland,17.06,34.0,75.0,45.52,-122.68,5.1
25,Chuy,13.44,85.0,49.0,-33.7,-53.46,3.36
26,Vila franca do campo,18.0,93.0,75.0,37.72,-25.43,6.7
27,Chagda,,,,,,
28,Nikolskoye,-2.35,79.0,0.0,59.7,30.79,2.0
29,Cape town,12.83,93.0,75.0,-33.93,18.42,0.5
30,Cabo san lucas,33.73,19.0,5.0,22.89,-109.91,7.7
31,Gobabis,15.84,18.0,0.0,-22.45,18.97,5.03
32,Ushuaia,6.0,81.0,75.0,-54.8,-68.3,11.8
33,Ishigaki,25.0,94.0,75.0,24.34,124.16,3.6
34,Busselton,10.79,45.0,0.0,-33.65,115.33,4.85
35,Romitan,16.0,67.0,66.0,39.93,64.38,4.1
36,Barranca,19.93,84.0,2.0,-10.75,-77.77,2.49
37,Hithadhoo,29.4,74.0,23.0,-0.6,73.08,3.99
38,Avarua,26.0,65.0,95.0,-21.21,-159.78,3.6
39,Whitehorse,7.86,42.0,75.0,60.72,-135.05,6.7
40,Kapaa,25.85,65.0,40.0,22.08,-159.32,8.2
41,Amderma,,,,,,
42,Tlapa,,,,,,
43,Zhigansk,-7.88,94.0,92.0,66.77,123.37,8.27
44,Bereznehuvate,10.07,74.0,1.0,47.31,32.85,2.78
